time,raw_data
1717833223.4295063,-8988.60
1717833223.5194154,-8987.90
1717833223.6138537,-8987.82
1717833223.7062278,-8988.28
1717833223.7963705,-8988.46
1717833223.8866775,-8988.92
1717833223.9772062,-8988.10
1717833224.0693038,-8988.30
1717833224.1653655,-8988.10
1717833224.2586646,-8988.26
1717833224.3496418,-8988.78
1717833224.4404068,-8988.38
1717833224.5311234,-8988.26
1717833224.625244,-8988.36
1717833224.7169147,-8988.66
1717833224.8048844,-8988.20
1717833224.9027593,-8988.32
1717833224.992658,-8988.36
1717833225.086008,-8988.26
1717833225.1772006,-8988.10
1717833225.2702842,-8988.80
1717833225.360894,-8988.52
1717833225.4544568,-8988.20
1717833225.544398,-8988.42
1717833225.6376436,-8988.88
1717833225.7215476,-8989.26
1717833225.8188043,-8989.10
1717833225.9090648,-8988.64
1717833226.0020514,-8987.42
1717833226.0975187,-8987.52
1717833226.1870027,-8987.34
1717833226.2712195,-8987.56
1717833226.3686287,-8988.62
1717833226.4598272,-8988.80
1717833226.5576177,-8988.72
1717833226.6427274,-8988.60
1717833226.740764,-8987.84
1717833226.834119,-8987.54
1717833226.9249167,-8987.64
1717833227.0166528,-8988.70
1717833227.1094406,-8989.40
1717833227.2003582,-8988.58
1717833227.2928765,-8989.06
1717833227.385862,-8989.50
1717833227.475385,-8988.94
1717833227.5686505,-8988.92
1717833227.658834,-8989.12
1717833227.7531285,-8989.16
1717833227.839101,-8988.60
1717833227.9362133,-8988.62
1717833228.024866,-8989.58
1717833228.118686,-8989.42
1717833228.2092597,-8988.66
1717833228.3020384,-8989.72
1717833228.3898475,-8988.58
1717833228.4869502,-8989.14
1717833228.575833,-8989.38
1717833228.6697178,-8988.98
1717833228.755663,-8989.92
1717833228.8584146,-8990.34
1717833228.946823,-8989.32
1717833229.038575,-8988.98
1717833229.1336625,-8989.16
1717833229.2208881,-8988.68
1717833229.3178391,-8989.14
1717833229.4083965,-8988.40
1717833229.5018232,-8989.06
1717833229.5889757,-8989.70
1717833229.6855454,-8989.72
1717833229.7747931,-8989.20
1717833229.8687432,-8989.34
1717833229.9586885,-8988.66
1717833230.0522861,-8989.32
1717833230.1430516,-8990.06
1717833230.2355506,-8990.26
1717833230.3254895,-8989.96
1717833230.4215205,-8989.36
1717833230.5084667,-8989.50
1717833230.60271,-8990.04
1717833230.6919465,-8989.86
1717833230.7893498,-8988.12
1717833230.8806574,-8987.88
1717833230.9740875,-8987.72
1717833231.0645425,-8987.92
1717833231.155475,-8988.80
1717833231.2467027,-8989.34
1717833231.3383596,-8988.78
1717833231.4282782,-8989.18
1717833231.5240605,-8989.58
1717833231.616994,-8988.94
1717833231.7084982,-8989.58
1717833231.8012185,-8989.14
1717833231.8923686,-8989.04
1717833231.9850588,-8989.26
1717833232.0770688,-8989.04
1717833232.1697574,-8989.22
1717833232.2603967,-8989.48
1717833232.352929,-8989.02
1717833232.4436564,-8987.42
1717833232.5356498,-8987.60
1717833232.6265368,-8990.18
1717833232.7209716,-8991.46
1717833232.80537,-8990.26
1717833232.9040017,-8990.04
1717833232.9886541,-8989.34
1717833233.086945,-8989.10
1717833233.177902,-8989.24
1717833233.2695858,-8988.68
1717833233.364562,-8988.16
1717833233.4532812,-8988.70
1717833233.5477898,-8989.26
1717833233.6364367,-8988.80
1717833233.7275884,-8989.38
1717833233.8236692,-8989.74
1717833233.9050794,-8988.78
1717833234.00763,-8988.54
1717833234.0954356,-8988.52
1717833234.1916301,-8988.74
1717833234.2793257,-8989.22
1717833234.3756256,-8988.88
1717833234.4689329,-8988.84
1717833234.559378,-8989.10
1717833234.6512218,-8988.54
1717833234.7442658,-8988.70
1717833234.8364058,-8988.80
1717833234.9280384,-8988.50
1717833235.0197935,-8988.24
1717833235.1105556,-8988.18
1717833235.2036798,-8987.96
1717833235.288894,-8988.06
1717833235.3877504,-8988.16
1717833235.477991,-8988.50
1717833235.5717807,-8988.80
1717833235.6612504,-8988.34
1717833235.7548876,-8987.98
1717833235.844654,-8987.94
1717833235.938912,-8988.04
1717833236.0278962,-8988.24
1717833236.12041,-8987.84
1717833236.20821,-8987.14
1717833236.3036017,-8987.22
1717833236.393273,-8987.28
1717833236.486718,-8987.32
1717833236.572037,-8987.08
1717833236.669798,-8986.64
1717833236.7661686,-8987.78
1717833236.8547864,-8988.58
1717833236.9446287,-8987.66
1717833237.036426,-8987.88
1717833237.1278903,-8988.04
1717833237.2264616,-8987.26
1717833237.3192418,-8987.40
1717833237.4110446,-8988.34
1717833237.5031383,-8988.04
1717833237.594624,-8988.12
1717833237.6867452,-8988.12
1717833237.7781608,-8987.14
1717833237.870709,-8986.52
1717833237.9619849,-8987.14
1717833238.0531697,-8988.08
1717833238.1445532,-8988.46
1717833238.2366047,-8987.68
1717833238.3221502,-8987.52
1717833238.421846,-8987.82
1717833238.5058868,-8987.66
1717833238.605832,-8986.96
1717833238.6889207,-8987.76
